27,18,22,14,20,24,18,12,23
27,19,24,12,24,29,23,14,23
27,18,26,12,21,12,18,14,21
23,12,24,10,21,18,18,13,47
13,18,21,12,24,35,12,14,18
25,18,24,24,20,24,18,23,18
25,24,22,10,18,70,29,14,19
26,18,23,24,22,24,18,23,19
30,18,22,8,20,22,16,14,23
16,35,23,24,29,25,19,23,18
23,18,20,11,18,29,35,2,20
25,12,21,24,19,24,16,12,26
26,17,20,12,21,12,12,16,16
25,19,23,10,20,35,24,17,1
23,19,18,12,21,21,1,12,16
25,19,21,7,12,24,20,14,23
14,23,25,10,20,24,24,18,22
28,21,23,9,19,22,21,16,20
25,19,23,6,19,20,22,19,47
25,20,19,15,22,22,12,19,14
25,23,16,11,18,22,20,20,23
23,21,23,11,22,22,20,17,23
24,22,22,12,20,31,12,23,21
25,30,25,24,22,30,28,22,29
25,23,24,18,22,23,24,18,23
25,24,27,18,22,28,23,14,32
24,20,26,17,23,24,17,15,31
12,23,25,23,23,21,19,16,20
24,29,22,35,23,12,21,18,2
21,32,24,36,20,29,26,18,35
18,24,26,23,23,12,27,23,31
11,27,22,32,39,24,4,1,23
9,29,26,36,37,55,28,24,24
12,26,23,39,23,53,33,12,28
9,34,24,36,31,56,32,24,24
23,31,26,29,31,57,32,18,20
9,23,24,33,33,24,24,20,14
11,36,25,31,32,53,12,14,17
2,12,23,32,31,50,31,16,17
12,31,24,29,29,53,31,15,18
11,31,23,31,31,53,33,18,23
6,33,24,2,31,52,2,14,17
23,30,24,3,29,23,31,1,23
12,31,24,31,32,54,33,14,17
17,12,24,26,12,70,29,12,4
10,24,26,23,32,55,36,13,17
2,31,24,12,32,55,36,12,19
23,30,25,12,30,12,24,23,70
1,12,26,12,33,24,58,14,23
35,31,47,12,23,58,23,2,18
12,31,25,12,31,55,35,14,23
13,31,28,4,33,58,16,1,47
1,33,23,12,12,12,24,13,3
12,33,24,30,12,24,24,14,20
1,35,28,28,4,24,70,12,23
10,23,25,30,35,35,40,23,20
12,24,23,4,18,29,52,2,23
70,12,24,28,12,35,24,29,70
9,32,27,29,24,18,38,12,25
9,30,25,27,12,12,52,23,35
12,33,27,28,30,55,24,12,24
12,30,26,28,30,56,37,14,23
8,32,28,24,30,56,33,15,26
13,32,23,27,28,24,12,15,24
10,47,26,24,29,53,34,14,22
10,33,24,30,30,24,33,14,25
3,30,25,2,29,51,24,23,23
23,12,24,30,29,52,35,14,23
8,31,26,23,23,12,12,1,22
11,31,24,30,32,51,34,14,22
3,31,24,31,23,70,24,15,70
23,31,26,2,35,24,33,2,7
7,12,25,29,18,50,8,12,47
47,12,25,24,24,29,18,23,20
16,29,12,27,12,12,35,23,19
11,24,23,28,47,53,35,13,20
1,33,25,27,18,20,18,6,19
10,33,27,12,24,47,3,23,17
1,12,26,23,12,24,24,13,35
23,31,26,26,12,35,20,6,1
6,31,24,26,24,29,10,12,70
10,33,27,29,31,35,40,29,18
117,31,24,27,47,18,35,12,19
1,47,23,2,31,35,18,12,18
10,35,25,18,30,41,16,14,1
12,47,23,35,29,35,35,12,24
23,12,25,6,23,46,24,12,23
12,23,24,35,28,12,12,6,25
8,28,24,24,35,47,24,23,23
1,18,12,2,31,12,31,12,24
23,12,25,22,47,18,12,12,27
23,22,26,15,12,37,12,12,5
23,21,25,14,24,38,12,12,27
16,12,22,12,12,35,24,13,47
16,23,24,13,22,28,18,13,21
25,18,22,14,12,25,12,12,23
27,18,22,14,20,24,18,12,23
27,19,24,12,24,29,23,14,23
27,12,26,12,21,24,12,14,21
25,18,24,10,21,26,18,13,21
13,18,21,12,21,24,18,14,18
25,18,24,13,20,22,18,15,18
25,18,22,10,21,26,19,14,19
26,18,22,10,22,22,18,14,19
30,18,22,8,20,22,16,14,18
23,23,23,23,21,25,19,14,18
10,18,20,11,20,21,19,15,20
25,17,21,15,19,24,16,18,26
26,17,20,10,21,22,19,16,16
25,19,23,10,20,26,16,23,24
23,19,18,12,21,21,17,13,16
25,19,21,7,20,24,20,14,21
8,18,25,23,20,18,18,18,22
28,21,23,9,19,22,21,16,20
25,19,23,6,19,20,22,19,22
25,20,19,15,22,22,16,19,14
25,23,16,11,18,22,20,20,23
23,21,23,11,22,22,20,17,23
