23,31,58,22,24
23,31,106,23,58
23,10,76,29,67
19,13,58,17,62
11,8,58,1,63
19,7,57,3,54
10,2,54,1,64
10,6,50,8,57
22,6,54,2,54
20,3,60,1,85
20,2,57,1,52
19,2,57,1,43
23,2,55,16,32
20,7,56,20,51
26,2,69,8,60
18,13,62,4,49
31,1,56,22,35
16,30,73,18,51
23,21,51,17,28
21,1,54,1,58
23,9,74,23,88
23,26,68,22,47
26,3,68,20,46
23,1,60,23,28
23,23,52,14,58
21,15,62,20,35
20,20,67,23,52
23,10,54,8,35
31,30,74,23,49
21,26,71,6,35
27,18,60,23,58
39,1,62,2,82
21,15,51,2,24
20,8,64,1,64
35,37,54,5,58
23,13,63,23,27
28,33,58,23,24
20,7,54,4,34
16,4,42,23,62
17,1,46,13,45
2,4,58,3,47
4,11,56,4,39
12,2,60,2,29
23,22,58,23,40
17,1,66,16,38
5,7,56,16,54
16,7,62,1,40
23,28,54,23,70
19,1,59,13,37
4,3,56,17,68
6,7,58,1,33
10,2,51,1,77
13,7,54,11,48
14,7,58,2,54
9,7,50,3,50
20,5,56,2,58
19,3,55,2,44
21,11,56,15,51
23,5,56,1,50
20,2,58,10,64
8,4,63,1,45
26,8,56,4,50
1,2,61,31,42
5,7,65,2,50
8,2,62,7,47
18,2,68,33,67
19,2,57,1,42
6,7,52,5,67
1,1,60,17,56
3,2,54,1,42
1,7,56,8,44
12,5,57,1,58
19,4,60,1,72
17,4,56,1,43
23,16,57,1,46
19,2,54,1,74
12,4,54,3,49
14,1,56,14,41
8,3,53,1,50
3,2,54,1,48
20,2,59,1,52
21,6,54,3,38
21,2,54,1,118
2,3,56,3,40
14,6,52,9,60
1,3,54,7,52
8,4,54,4,49
9,4,52,6,51
3,2,56,1,54
11,4,55,5,52
23,8,57,14,64
12,5,57,9,61
16,7,52,7,47
20,9,61,12,50
19,31,64,14,66
24,11,58,18,50
31,1,70,1,52
23,33,52,18,74
23,16,60,17,45
22,17,64,22,43
23,22,59,4,47
23,21,52,22,38
23,19,41,47,47
23,20,58,23,37
23,22,58,22,47
23,23,70,23,39
23,16,24,20,33
23,31,28,16,47
22,23,54,25,35
22,26,46,19,33
23,23,35,23,44
24,26,28,22,31
24,29,12,22,33
24,28,39,26,64
24,24,58,23,53
22,24,41,21,31
24,25,43,20,34
25,24,47,22,12
35,23,47,26,24
23,35,70,25,36
26,39,54,18,29
23,35,29,23,47
23,23,31,35,24
23,30,54,23,42
