6,32,23,20,11,23,31,58,22,24,27,18,22,14,20,24,18,12,23
4,47,23,35,23,23,31,106,23,58,27,19,24,12,24,29,23,14,23
17,55,23,5,16,23,10,76,29,67,27,18,26,12,21,12,18,14,21
4,54,27,14,3,19,13,58,17,62,23,12,24,10,21,18,18,13,47
4,43,23,14,3,11,8,58,1,63,13,18,21,12,24,35,12,14,18
2,40,27,8,3,19,7,57,3,54,25,18,24,24,20,24,18,23,18
4,38,23,7,3,10,2,54,1,64,25,24,22,10,18,70,29,14,19
3,42,25,6,5,10,6,50,8,57,26,18,23,24,22,24,18,23,19
4,46,28,8,4,22,6,54,2,54,30,18,22,8,20,22,16,14,23
2,46,26,6,2,20,3,60,1,85,16,35,23,24,29,25,19,23,18
2,42,25,6,15,20,2,57,1,52,23,18,20,11,18,29,35,2,20
2,48,25,6,4,19,2,57,1,43,25,12,21,24,19,24,16,12,26
26,47,23,11,12,23,2,55,16,32,26,17,20,12,21,12,12,16,16
20,56,31,16,15,20,7,56,20,51,25,19,23,10,20,35,24,17,1
4,47,23,6,4,26,2,69,8,60,23,19,18,12,21,21,1,12,16
3,50,23,5,23,18,13,62,4,49,25,19,21,7,12,24,20,14,23
2,58,16,23,14,31,1,56,22,35,14,23,25,10,20,24,24,18,22
4,40,23,27,16,16,30,73,18,51,28,21,23,9,19,22,21,16,20
2,52,27,12,14,23,21,51,17,28,25,19,23,6,19,20,22,19,47
10,56,23,10,6,21,1,54,1,58,25,20,19,15,22,22,12,19,14
14,56,23,3,2,23,9,74,23,88,25,23,16,11,18,22,20,20,23
2,60,23,5,15,23,26,68,22,47,23,21,23,11,22,22,20,17,23
42,49,23,17,18,26,3,68,20,46,24,22,22,12,20,31,12,23,21
14,50,27,5,19,23,1,60,23,28,25,30,25,24,22,30,28,22,29
26,54,23,7,20,23,23,52,14,58,25,23,24,18,22,23,24,18,23
15,47,23,2,21,21,15,62,20,35,25,24,27,18,22,28,23,14,32
8,59,23,19,19,20,20,67,23,52,24,20,26,17,23,24,17,15,31
3,68,29,10,16,23,10,54,8,35,12,23,25,23,23,21,19,16,20
24,64,31,20,14,31,30,74,23,49,24,29,22,35,23,12,21,18,2
14,45,47,35,15,21,26,71,6,35,21,32,24,36,20,29,26,18,35
35,64,23,4,14,27,18,60,23,58,18,24,26,23,23,12,27,23,31
14,48,39,17,4,39,1,62,2,82,11,27,22,32,39,24,4,1,23
4,46,26,28,2,21,15,51,2,24,9,29,26,36,37,55,28,24,24
2,61,35,17,11,20,8,64,1,64,12,26,23,39,23,53,33,12,28
5,47,28,5,23,35,37,54,5,58,9,34,24,36,31,56,32,24,24
27,51,23,18,13,23,13,63,23,27,23,31,26,29,31,57,32,18,20
6,52,3,20,11,28,33,58,23,24,9,23,24,33,33,24,24,20,14
5,62,23,12,11,20,7,54,4,34,11,36,25,31,32,53,12,14,17
12,56,27,16,10,16,4,42,23,62,2,12,23,32,31,50,31,16,17
3,56,27,4,23,17,1,46,13,45,12,31,24,29,29,53,31,15,18
8,63,23,9,12,2,4,58,3,47,11,31,23,31,31,53,33,18,23
18,46,22,28,8,4,11,56,4,39,6,33,24,2,31,52,2,14,17
