6,32,23,20,11
4,47,23,35,23
17,55,23,5,16
4,54,27,14,3
4,43,23,14,3
2,40,27,8,3
4,38,23,7,3
3,42,25,6,5
4,46,28,8,4
2,46,26,6,2
2,42,25,6,15
2,48,25,6,4
26,47,23,11,12
20,56,31,16,15
4,47,23,6,4
3,50,23,5,23
2,58,16,23,14
4,40,23,27,16
2,52,27,12,14
10,56,23,10,6
14,56,23,3,2
2,60,23,5,15
42,49,23,17,18
14,50,27,5,19
26,54,23,7,20
15,47,23,2,21
8,59,23,19,19
3,68,29,10,16
24,64,31,20,14
14,45,47,35,15
35,64,23,4,14
14,48,39,17,4
4,46,26,28,2
2,61,35,17,11
5,47,28,5,23
27,51,23,18,13
6,52,3,20,11
5,62,23,12,11
12,56,27,16,10
3,56,27,4,23
8,63,23,9,12
18,46,22,28,8
6,55,39,4,8
2,50,16,11,23
5,40,26,5,8
4,49,20,13,8
3,46,23,17,14
3,44,20,16,1
2,41,23,14,10
2,44,23,6,9
2,48,32,11,16
2,42,20,4,14
13,43,20,9,4
2,42,6,8,21
8,42,20,11,2
4,41,26,9,2
2,42,24,18,10
5,36,28,5,16
2,46,24,8,5
4,48,28,8,23
3,44,27,7,5
4,51,29,14,12
3,55,25,25,12
2,46,26,17,7
2,44,20,7,23
2,54,23,29,23
6,44,29,7,12
3,49,25,6,23
2,45,28,31,23
2,50,26,14,1
3,52,23,11,70
4,44,25,11,23
3,44,22,24,4
4,38,20,10,1
4,42,21,20,7
4,38,25,19,16
4,38,20,18,16
2,42,24,13,9
2,41,10,14,4
3,42,25,13,23
4,37,23,19,16
2,40,25,12,13
2,44,25,21,23
3,44,21,17,11
2,42,29,8,12
2,42,26,9,3
2,45,23,10,2
2,48,28,16,23
3,46,23,15,23
3,54,23,21,12
2,44,23,10,15
5,50,23,10,15
4,52,23,7,23
6,48,21,13,12
5,49,23,16,12
4,52,23,14,12
8,54,3,12,23
8,43,23,31,23
6,50,20,24,11
2,34,17,5,8
8,64,22,36,12
13,43,7,8,13
3,47,23,4,13
12,52,23,15,14
13,58,23,21,14
4,29,23,22,14
6,40,23,13,15
12,52,23,29,13
12,46,23,21,47
2,42,23,25,15
2,39,19,16,12
14,64,25,3,14
11,35,25,15,14
3,39,24,15,16
16,36,23,19,14
20,70,23,14,16
12,12,47,23,17
10,20,25,7,15
2,20,25,40,18
3,47,23,13,19
12,46,23,40,20
10,56,20,20,21
2,64,12,31,23
16,41,21,40,16
14,37,34,29,14
2,46,16,19,12
4,37,23,13,12
4,40,20,5,12
2,48,28,10,12
2,44,23,15,11
2,48,31,14,16
4,48,20,14,23
10,46,21,6,11
3,48,28,12,11
4,44,26,6,10
3,44,21,7,2
2,44,28,7,1
4,38,21,8,8
3,38,26,6,2
